Price,Close,High,Low,Open,Volume
Ticker,BBCA.JK,BBCA.JK,BBCA.JK,BBCA.JK,BBCA.JK
Date,,,,,
2020-01-02,5820.927734375,5899.236179232063,5812.226796057548,5825.278203533726,49445000
2020-01-03,5916.638671875,5916.638671875,5851.381627699909,5873.133975758272,47755500
2020-01-06,5860.0810546875,5873.13246015451,5820.92683828647,5847.02964922049,27300000
2020-01-07,5864.431640625,5890.534452081788,5855.730703472737,5860.081172048868,45022500
2020-01-08,5812.22607421875,5868.782166258304,5803.525136981895,5803.525136981895,53692500
2020-01-09,5864.431640625,5877.483046353394,5855.730703472737,5864.431640625,40363500
2020-01-10,5851.38037109375,5938.389744641612,5838.328965061571,5886.184120512895,73362000
2020-01-13,5868.78271484375,5881.834121919013,5860.081776793573,5864.432245818662,67855000
2020-01-14,5977.54443359375,5990.595840653998,5864.432239071597,5868.78270809168,93582000
2020-01-15,5947.09033203125,6142.861410993507,5916.637053081565,5977.543610980934,75623500
2020-01-16,5960.1416015625,5994.945348140967,5912.286450017107,5920.9873866617245,88931500
2020-01-17,5981.89453125,5994.9459375,5916.6375,5951.44125,38249500
2020-01-20,5947.09033203125,6068.903447829988,5942.739863609866,6047.15110572307,93554500
2020-01-21,5942.740234375,5999.296327381497,5938.389765682193,5990.595389995882,103984500
2020-01-22,5951.44189453125,5999.297055963884,5947.091425310102,5964.493302194695,94311500
2020-01-23,5951.44189453125,5999.297055963884,5942.740956088953,5990.596117521587,87728000
2020-01-24,5925.33837890625,5986.244940803965,5925.33837890625,5934.039316320209,69653500
2020-01-27,5951.44189453125,6038.451278954221,5929.689548425507,5973.194240636993,39679000
2020-01-28,5907.93603515625,5955.791187134688,5877.482756624517,5947.090250411336,82615000
2020-01-29,5903.5859375,5955.791561118275,5890.534531595431,5916.637343404568,43821000
2020-01-30,5864.431640625,5955.791480723758,5855.730703472737,5955.791480723758,71990000
2020-01-31,5638.20703125,5920.987476490162,5638.20703125,5916.637008101852,163136500
2020-02-03,5603.4033203125,5729.566904387859,5542.496762483016,5638.207067643633,149797000
2020-02-04,5742.61865234375,5760.020527047822,5673.011153527462,5716.515840287641,113316500
2020-02-05,5855.73095703125,5899.235644676356,5786.1234567990805,5899.235644676356,123002500
2020-02-06,5864.431640625,5899.235389234051,5812.226017711424,5864.431640625,154693500
2020-02-07,5881.833984375,5899.235860068417,5833.978826218103,5838.329295141457,82609000
2020-02-10,5903.5859375,5903.5859375,5768.7214098194545,5881.833594325718,66578500
2020-02-11,5899.236328125,5903.586797393528,5868.783043245298,5903.586797393528,77526500
2020-02-12,5916.638671875,5916.638671875,5881.834914981618,5916.638671875,69971500
2020-02-13,5907.93603515625,5934.038845326307,5864.431351539488,5934.038845326307,49737000
2020-02-14,5812.22607421875,5912.286852442576,5807.875605600322,5899.235446587294,147028500
2020-02-17,5847.0302734375,5873.133087158203,5812.2265218098955,5812.2265218098955,115319000
2020-02-18,5825.27734375,5847.029686333084,5803.525001166916,5816.5764067167665,98436500
2020-02-19,5825.27734375,5881.83343446602,5799.174532650299,5799.174532650299,74594000
2020-02-20,5738.267578125,5825.276942463514,5712.164768823446,5820.926474246588,136724500
2020-02-21,5755.66943359375,5794.823647427721,5738.267560778651,5742.618028982426,98261000
2020-02-24,5677.36181640625,5742.618848778736,5664.3104099317525,5712.165567004909,84910000
2020-02-25,5681.71240234375,5707.815215830781,5664.310526685729,5699.114278001771,86446500
2020-02-26,5586.00146484375,5686.062238746715,5586.00146484375,5655.608959732768,92824500
2020-02-27,5472.89013671875,5633.8574936810655,5394.581692791136,5629.507024573976,129254500
2020-02-28,5472.89013671875,5472.89013671875,5251.016212257179,5394.581692791136,169946500
2020-03-02,5290.17041015625,5472.890111822831,5251.016188370554,5472.890111822831,144871500
2020-03-03,5498.99267578125,5525.095489115655,5394.581422443632,5394.581422443632,114663500
2020-03-04,5603.4033203125,5655.6089413092,5446.786457322399,5494.641609902707,83025000
2020-03-05,5599.0537109375,5690.413561698718,5516.3947983440175,5690.413561698718,77583000
2020-03-06,5394.580078125,5525.094112273186,5394.580078125,5525.094112273186,77835500
2020-03-09,5033.4931640625,5255.367106471478,5033.4931640625,5220.563350799482,140889500
2020-03-10,5155.30517578125,5229.263140328322,5081.347211234177,5081.347211234177,133667000
2020-03-11,5090.04833984375,5203.160525173612,5037.842715845353,5177.057713174413,93204500
2020-03-12,4837.7216796875,4907.329185870054,4750.712296959307,4872.525432778777,129845500
2020-03-13,4837.7216796875,4837.7216796875,4837.7216796875,4837.7216796875,0
